20,1	31,5	88,7
7,1	18,9	73,7
16,1	35	102,5
14,9	31,6	101,7
16,7	22,6	69,1
8,8	26,2	79,1
9,7	14,1	45,1
10,3	24,7	77,8
22	44,8	101,5
16,2	23,2	78,4
12,1	31,4	92,8
10,3	17,7	66,4
14,5	18,4	69,1
12,4	23,4	70,5
9,6	22,6	78,5
12,2	16,4	55,4
10,8	21,4	74,2
14,7	26,5	84,8
19,7	31,7	96,1
11,2	11,9	45,2
10,1	20	59,6
11	12,5	39,6
12,2	18	60,8
9,2	14,2	47,3
23,5	37,6	103,3
9,4	22,2	76,6
15,3	17,8	63,3
9,6	18,3	64,2
11,1	28	96,7
5,3	8,1	39
7,8	14,7	46,1
25,3	37,8	99,5
16,5	15,7	50,1
12,6	28,6	89,3
12	11,7	48,7
11,5	20,1	69,4
17,1	30,1	97,6
11,2	18,2	64,8
12,2	17,2	53,7
10,6	19,6	59
19,9	29,2	87,2
14,5	17,3	67,8
15,5	28,2	94,2
17,4	38,2	104,3
8,4	17,8	62,4
10,3	10,4	44,4
10,2	19	66
12,5	16,8	57,6
16,7	21,5	80,7
8,5	15,9	57,1
12,2	17,7	72,1
